fips,start,end,aet,cwd
9015,1950,1980,503.0772548,491.4468195
9015,1982,2011,533.7619929,460.95299670000003
9015,2007,2011,528.2318796,467.8372118
9015,2012,2016,501.0750102,497.7659573
51690,1950,1980,623.9806135,633.6741403
51690,1982,2011,625.3148416,613.7910904
51690,2007,2011,605.089662,659.2510462
51690,2012,2016,648.8150955,580.0112296
18065,1950,1980,555.4225886,513.5373847
18065,1982,2011,568.9279087,472.5599081
18065,2007,2011,586.8331319,469.4150568
18065,2012,2016,581.8408661,479.1848709
37059,1950,1980,642.3322688,660.1938929
37059,1982,2011,630.6374948,654.2685292
37059,2007,2011,617.7496992,673.9345471
37059,2012,2016,641.8504568,617.5223423
51735,1950,1980,NA,NA
51735,1982,2011,NA,NA
51735,2007,2011,NA,NA
51735,2012,2016,NA,NA
26097,1950,1980,448.7535598,351.9224533
26097,1982,2011,444.2989298,364.2375327
26097,2007,2011,424.7945169,377.6911893
26097,2012,2016,451.6945482,342.7624873
51013,1950,1980,NA,NA
51013,1982,2011,NA,NA
51013,2007,2011,NA,NA
51013,2012,2016,NA,NA
41061,1950,1980,293.2862753,776.6343954
41061,1982,2011,297.1874509,785.0049652
41061,2007,2011,289.683734,781.9706355
41061,2012,2016,249.9820102,861.3421731
20117,1950,1980,484.6500601,667.1018029
20117,1982,2011,496.3862126,625.6064199
20117,2007,2011,521.8380947,577.6900005
20117,2012,2016,465.7551174,687.3767355
21049,1950,1980,637.8923927,518.4462141
21049,1982,2011,629.220074,521.4887911
21049,2007,2011,617.0200789,535.512701
21049,2012,2016,644.5327543,506.5344982
48311,1950,1980,453.4490705,1220.416189
48311,1982,2011,451.9440397,1218.021467
48311,2007,2011,406.4780605,1283.977449
48311,2012,2016,433.7666093,1238.775219
32510,1950,1980,158.8155707,1091.140188
32510,1982,2011,154.1975339,1091.762046
32510,2007,2011,132.0893426,1120.939977
32510,2012,2016,159.0205743,1117.361462
36009,1950,1980,537.3919519,389.1893264
36009,1982,2011,557.8849523,356.9946185
36009,2007,2011,552.504271,364.8188403
36009,2012,2016,555.6525468,368.499511
42107,1950,1980,585.1750027,443.0718998
42107,1982,2011,614.1206609,424.6968813
42107,2007,2011,631.4279126,417.5555313
42107,2012,2016,606.7033233,449.4210332
34011,1950,1980,594.0870131,482.878629
34011,1982,2011,606.0444815,476.6574722
34011,2007,2011,614.2113315,482.0340895
34011,2012,2016,636.6426891,439.2291426
13025,1950,1980,809.5601533,701.8856299
13025,1982,2011,820.4744942,699.8600566
13025,2007,2011,793.7814219,747.7330021
13025,2012,2016,829.4269042,668.7004367
20171,1950,1980,391.0231986,924.758396
20171,1982,2011,412.0033538,886.1229022
20171,2007,2011,409.3789555,897.6368272
20171,2012,2016,398.7345268,949.2027918
6109,1950,1980,228.5793189,1202.745727
6109,1982,2011,245.3951015,1176.759586
6109,2007,2011,234.2249919,1163.803568
6109,2012,2016,204.8461745,1249.841821
51165,1950,1980,548.9915963,619.0260203
51165,1982,2011,559.7698527,604.493641
51165,2007,2011,543.5845868,611.6686253
51165,2012,2016,594.9473876,542.0641398
27015,1950,1980,464.422909,496.1965091
27015,1982,2011,484.1982118,450.3704963
27015,2007,2011,455.2889803,477.3287292
27015,2012,2016,469.2716885,472.9706856
37183,1950,1980,675.1100542,622.7974989
37183,1982,2011,686.1677224,601.5548028
37183,2007,2011,678.7358914,630.7794821
37183,2012,2016,765.9677803,492.9834394
17105,1950,1980,516.6920529,540.202731
17105,1982,2011,535.6144286,508.7730951
17105,2007,2011,566.7178199,471.3913795
17105,2012,2016,559.7692271,490.2747263
48347,1950,1980,675.424718,794.6228895
48347,1982,2011,694.4564634,756.282582
48347,2007,2011,672.795594,809.4291098
48347,2012,2016,671.391344,771.6002243
38005,1950,1980,312.3656218,566.6077573
38005,1982,2011,347.8361364,520.865069
38005,2007,2011,379.2507497,463.4091634
38005,2012,2016,336.7218443,531.496354
21149,1950,1980,576.2025133,631.1844139
21149,1982,2011,594.3282003,605.3862078
21149,2007,2011,561.8078098,646.1185306
21149,2012,2016,608.9792756,574.3520242
20099,1950,1980,549.3893192,707.2632694
20099,1982,2011,554.9450174,643.4780708
20099,2007,2011,571.4342871,611.263153
20099,2012,2016,543.3768044,669.7655461
13093,1950,1980,725.4372617,734.6297355
13093,1982,2011,699.8919754,749.8945515
13093,2007,2011,651.0384355,809.8113427
13093,2012,2016,685.4756456,747.2824603
30005,1950,1980,246.3826128,697.0507815
30005,1982,2011,273.0171958,688.8818523
30005,2007,2011,275.3506773,652.6827549
30005,2012,2016,282.3515487,679.1353558
17029,1950,1980,548.2501788,556.1392531
17029,1982,2011,554.5459281,532.2728324
17029,2007,2011,587.4452927,495.6483151
17029,2012,2016,564.5717681,518.9841295
48485,1950,1980,462.2972267,1017.6679799999999
48485,1982,2011,459.1563834,995.2723083
48485,2007,2011,406.9750856,1072.387631
48485,2012,2016,422.6843217,1057.585558
13089,1950,1980,722.0652093,597.8013234
13089,1982,2011,718.2120283,607.287388
13089,2007,2011,688.5926426,667.5866606
13089,2012,2016,687.3133895,653.7380748
40131,1950,1980,573.9301401,719.3442445
40131,1982,2011,589.3858845,666.0423241
40131,2007,2011,599.6090764,647.1406125
40131,2012,2016,545.7287903,732.6406412
13081,1950,1980,740.0624645,719.6506805
13081,1982,2011,719.9173744,733.5295263
13081,2007,2011,666.9873473,791.465497
13081,2012,2016,717.2301709,706.352873
29041,1950,1980,529.7875876,615.3315848
29041,1982,2011,537.3866123,553.4599339
29041,2007,2011,584.3864502,487.4180759
29041,2012,2016,506.9169733,594.3802698
37065,1950,1980,652.7141472,644.7974912
37065,1982,2011,644.5159159,640.0490163
37065,2007,2011,612.3993902,675.6518887
37065,2012,2016,696.6818575,535.1241407
13265,1950,1980,725.1387444,673.0940131
13265,1982,2011,712.6569778,671.7475089
13265,2007,2011,664.2918362,746.6629195
13265,2012,2016,664.6472217,724.9269078
48001,1950,1980,607.6693397,838.4688101
48001,1982,2011,637.2382413,780.8073251
48001,2007,2011,626.537002,807.3562197
48001,2012,2016,597.1880229,813.1664633
37109,1950,1980,644.70530900000006,634.1030703
37109,1982,2011,642.4667392,625.9864866
37109,2007,2011,629.267973,669.4615079
37109,2012,2016,650.9175484,623.0474001
48279,1950,1980,329.5919545,1129.747747
48279,1982,2011,357.4250014,1102.369981
48279,2007,2011,336.0920737,1153.581212
48279,2012,2016,356.8789698,1122.239231
54041,1950,1980,682.3443226,479.2814041
54041,1982,2011,689.4698799,478.1728186
54041,2007,2011,693.3090192,456.946686
54041,2012,2016,677.2151256,484.0264679
26049,1950,1980,454.8106742,490.9071745
26049,1982,2011,474.9847038,468.4092188
26049,2007,2011,490.078753,455.5211744
26049,2012,2016,500.5299391,457.5413562
49017,1950,1980,199.4796095,1022.657177
49017,1982,2011,222.7186219,1018.207478
