fips,year,cover_crop_acres,acres_operated
01001,2012,1196,113236
01001,2017,1661,111504
01003,2012,17668,174803
01003,2017,39285,192320
01005,2012,4138,152748
01005,2017,4445,204258
01007,2012,(D),55965
01007,2017,274,56276
01009,2012,1090,148177
01009,2017,3619,146189
01011,2012,1234,115302
01011,2017,940,164600
01013,2012,630,84382
01013,2017,167,88398
01015,2012,446,89010
01015,2017,359,81265
01017,2012,514,128655
01017,2017,1050,96341
01019,2012,404,121371
01019,2017,3049,124241
01021,2012,503,76318
01021,2017,872,91373
01023,2012,370,82474
01023,2017,150,68489
01025,2012,230,64589
01025,2017,598,47496
01027,2012,237,71280
01027,2017,227,77871
01029,2012,(D),48397
01029,2017,42,50204
01031,2012,6488,177221
01031,2017,4526,202255
01033,2012,5778,150316
01033,2017,313,152767
01035,2012,1936,104047
01035,2017,4864,93709
01037,2012,(D),45921
01037,2017,211,35946
01039,2012,15045,161414
01039,2017,12579,208556
01041,2012,2935,114337
01041,2017,1667,129893
01043,2012,1860,209089
01043,2017,4545,194083
01045,2012,4626,137007
01045,2017,4055,129788
01047,2012,2654,263114
01047,2017,9442,255114
01049,2012,1015,247389
01049,2017,2635,229294
01051,2012,537,93703
01051,2017,427,90346
01053,2012,6501,105758
01053,2017,3626,107369
01055,2012,233,89345
01055,2017,929,86137
01057,2012,40,68229
01057,2017,568,81087
01059,2012,662,129553
01059,2017,1213,150496
01061,2012,7884,183356
01061,2017,5261,218805
01063,2012,677,153321
01063,2017,756,120390
01065,2012,173,157809
01065,2017,634,160500
01067,2012,18051,173986
01067,2017,13390,169809
01069,2012,15753,148526
01069,2017,11689,197974
01071,2012,1417,218519
01071,2017,3886,231845
01073,2012,387,37923
01073,2017,214,39003
01075,2012,114,73625
01075,2017,65,82282
01077,2012,13930,210539
01077,2017,15018,211589
01079,2012,5188,213747
01079,2017,13992,243840
01081,2012,1069,67765
01081,2017,908,59024
01083,2012,9386,224822
01083,2017,6100,246697
01085,2012,2179,202907
01085,2017,658,217760
01087,2012,570,120208
01087,2017,8892,103317
01089,2012,13929,184926
01089,2017,7218,209352
01091,2012,259,147375
01091,2017,1151,165436
01093,2012,274,82605
01093,2017,789,113773
01095,2012,651,145125
01095,2017,3706,162980
01097,2012,5534,94944
01097,2017,4113,88789
01099,2012,6214,141456
01099,2017,4652,140597
01101,2012,1224,233046
01101,2017,602,220066
01103,2012,2059,134864
01103,2017,1287,152567
01105,2012,1535,163224
01105,2017,3780,157250
01107,2012,(D),104836
01107,2017,3068,102646
01109,2012,3306,165682
01109,2017,2418,167272
01111,2012,219,120343
01111,2017,186,113918
01113,2012,638,98666
01113,2017,265,117351
01115,2012,272,58975
01115,2017,755,67447
01117,2012,1376,67214
01117,2017,243,58452
01119,2012,166,180228
01119,2017,336,239820
01121,2012,1872,79500
01121,2017,748,99836
01123,2012,44,65828
01123,2017,57,60953
01125,2012,507,94944
01125,2017,702,85985
01127,2012,254,64983
01127,2017,1138,54518
01129,2012,770,119563
01129,2017,1008,95567
01131,2012,652,165278
01131,2017,365,119620
01133,2012,260,57132
01133,2017,709,57959
04001,2012,878,5554963
04001,2017,523,5597672
04003,2012,10336,973407
04003,2017,15528,916672
04005,2012,286,6139007
04005,2017,(D),5815557
04007,2012,0,1214134
04007,2017,7,1189016
04009,2012,2177,1290391
04009,2017,1354,1251228
04011,2012,(D),65911
04011,2017,NA,52358
04012,2012,0,249723
04012,2017,2540,(D)
04013,2012,668,474438
04013,2017,3626,475898
04015,2012,(D),745415
04015,2017,577,1244343
04017,2012,203,4413121
04017,2017,284,4323178
04019,2012,368,2617789
04019,2017,(D),(D)
04021,2012,1147,1120637
